PGS id	GWAS tags	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
INGI-FVG	INGI-FVG	Italian Network on Genetic Isolates-Friuli-Venezia Giulia	mint cohort	COHO:0000593	Italian Network of Genetic Isolates - Friuli Venezia Giulia	INGI-FVG|FVG	Italian Network on Genetic Isolates-Friuli-Venezia Giulia	cohort			GCST90105058	PMID:35580588	Genome-wide association meta-analysis identifies 48 risk variants and highlights the role of the stria vascularis in hearing loss.	Italian Network of Genetic Isolates - Friuli Venezia Giulia (INGI-FVG; n = 339)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9247887/fullTextXML	A population-based cohort of people from six genetically isolated villages in the Friuli Venezia Giulia region of north-eastern Italy, recruited as part of the Italian Network of Genetic Isolates to study the genetic basis of complex diseases and phenotypes.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4997959/fullTextXML|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10178705/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	Italy	In particular, our study used 370 individuals from INGI-CARL, a population coming from Carlantino, a small village located in Puglia (Southern Italy), and 843 defined as INGI-FVG, making reference to 6 villages situated in the Friuli Venezia Region in North-Eastern Italy for a total of 1207 samples.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4997959/fullTextXML	COHO:0000105	memberOf	All three populations belong to the Italian Network of Genetic Isolates (INGI), a project aimed at studying the genetic basis of complex diseases and phenotypes (including eating habits) [41].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10178705/fullTextXML	Tag INGI-FVG: 23 GCSTs, 4 PMIDs (36050321 x18, 36864135 x3, 34349265 x1, 35580588 x1), consortium meta-analyses; example quote is a verbatim substring of the cohort list in PMC9247887 (the tier-A HABC row cites the same sentence). Parent quote from PMC10178705, where FVG is the replication population ('The replication phase was performed on 1073 individuals from Friuli Venezia Giulia (FVG), a region in the Northeast of Italy.'). COHO:0000105 (INGI, aggregation) lists Friuli Venezia Giulia among its isolates, hence memberOf. PGS name (with 'on', hyphenated 'Friuli-Venezia') kept as other synonym. grep of coho-edit.owl for FVG / Friuli: no match beyond COHO:0000105's definition text; no clash.
OAI	OAI	Osteoarthritis Initiative	mint cohort	COHO:0000594	Osteoarthritis Initiative	OAI		cohort			GCST90566795	PMID:40205036	Translational genomics of osteoarthritis in 1,962,069 individuals.	The Osteoarthritis Initiative (OAI) is a prospective longitudinal study designed to identify risk factors for the incidence and progression of symptomatic tibiofemoral knee osteoarthritis.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-08771-z/MediaObjects/41586_2025_8771_MOESM1_ESM.pdf	A prospective longitudinal study, run as an NIH public-private partnership, that enrolled 4,796 men and women aged 45-79 of any race or ethnicity with, or at increased risk of, symptomatic knee osteoarthritis at four US clinical sites, with annual knee radiographs up to 96 months, to identify risk factors for the incidence and progression of knee osteoarthritis.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-08771-z/MediaObjects/41586_2025_8771_MOESM1_ESM.pdf	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Participants were recruited at four clinical sites: 1) Brown University (Providence, RI); 2) The Ohio State University (Columbus, OH); 3) University of Maryland and The Johns Hopkins University (Baltimore, MD); and 4) University of Pittsburgh (Pittsburgh, PA).	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-08771-z/MediaObjects/41586_2025_8771_MOESM1_ESM.pdf					"23 GWAS Catalog studies over 2 PMIDs (40205036 x22, GO Consortium osteoarthritis GWAS meta-analysis; 37096546 x1, sclerostin GWAS meta-analysis, not open access, not checked). The main text of PMC12119359 does not name the cohort; quotes and definition are from its Supplementary Information PDF (Cohort Descriptions section 'The Osteoarthritis Initiative (OAI)'; text extracted with pdftotext, line breaks joined with a space); 'public-private partnership' and NIH funding from the same PDF's funding section (""The Osteoarthritis Initiative (OAI) is a public-private partnership comprised of five contracts ... funded by the NIH""). Progression and incidence sub-cohorts not minted. Country: the quote names Providence RI, Columbus OH, Baltimore MD and Pittsburgh PA (United States implied). No COHO or review-file match or clash (grepped coho-edit.owl, coho_list.txt, review_names.tsv for OAI, 'Osteoarthritis Initiative')."
SWOG	SWOG	Southwest Oncology Group	mint aggregation	COHO:0000595	SWOG Cancer Research Network	SWOG	Southwest Oncology Group	cohort aggregation			GCST90651081	PMID:38745123	Common variation in a long non-coding RNA gene modulates variation of circulating TGF-β2 levels in metastatic colorectal cancer patients (Alliance).	To this end, we used clinical, genotyping, and pre-treatment candidate protein marker data obtained from patients with mCRC randomized to the Cancer and Leukemia Group B (CALGB, now part of the Alliance for Clinical Trials in Oncology (Alliance)) and the Southwest Oncology Group, CALGB/SWOG 80405.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11092225/fullTextXML	A cancer clinical trials network, formerly the Southwest Oncology Group, that is one of the network groups of the US National Cancer Institute's National Clinical Trials Network and runs multicentre trials of cancer treatment in adults at its member sites, whose trial cohorts include the CALGB/SWOG 80405 trial in metastatic colorectal cancer.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7064039/fullTextXML|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11092225/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The US National Cancer Institute (NCI) has developed research networks focused on improving survival and health outcomes for cancer patients through the conduct of large‐scale clinical trials, including the National Clinical Trials Network (NCTN), the NCI Cancer Centers Program, and the NCI Community Oncology Research Program (NCORP). The NCTN provides funding and clinical trial infrastructure support to over 3000 sites via membership in NCTN network groups, including the SWOG Cancer Research Network (SWOG; formerly the Southwest Oncology Group).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7064039/fullTextXML					"All 23 GWAS Catalog studies tagged SWOG are the pQTL GWAS PMID:38745123, whose patients come from the joint trial CALGB/SWOG 80405 (""a randomized phase III study designed to assess outcomes of adding VEGF or EGFR inhibitors to systemic chemotherapy in mCRC patients""); every one of those studies is also tagged CALGB (COHO:0000022). Typed as an aggregation to match COHO:0000022 Cancer and Leukemia Group B, which COHO types as ""A consortium of institutional cancer trial cohorts"" with the trial CALGB 40601 (COHO:0000227) as a member. The trial actually genotyped, CALGB/SWOG 80405, is not in COHO; a curator may mint it as a cohort that is a member of both COHO:0000022 and this term (no row added, since it is not a parent of SWOG). PGS Catalog also has SWOG trials as separate tier-E ids SWOG-PCPT (Prostate Cancer Prevention Trial) and SWOG-SELECT (SELECT), which would be members of this aggregation. The PGS REST cohort endpoint returns nothing for SWOG (2026-09-23). Label is the network's current name (""the SWOG Cancer Research Network (SWOG; formerly the Southwest Oncology Group)"", PMC7064039); the PGS name is kept as a synonym. Location quote is two consecutive sentences of PMC7064039; it places SWOG within the US NCI network (sites are not listed; some SWOG sites outside the US may exist but were not checked). No COHO or review-file match for SWOG / Southwest (grep 2026-09-23); no clash."
LCCS	LCCS	Leeds Colorectal Cancer Study	mint cohort	COHO:0000596	Leeds Colorectal Cancer Study	LCCS		cohort			GCST90504004	PMID:38749303	Genome-wide interaction study of dietary intake of fibre, fruits, and vegetables with risk of colorectal cancer.	LCCS: The Leeds Colorectal Cancer Study was funded by the Food Standards Agency and Cancer Research UK Programme Award (C588/A19167).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11112268/fullTextXML	A population-based case-control study of incident colorectal cancer in the United Kingdom, run from Leeds, with cases and population controls matched for age, sex and general practitioner and interviewed about diet and smoking, first used to study meat intake, heterocyclic amines and NAT2 genotype in colorectal cancer risk.	PMID:12584178|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11112268/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom	A study of 500 incident colorectal cancer cases and population controls, matched for age, sex and general practitioner, was conducted in the UK to investigate this hypothesis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A12584178+AND+SRC%3AMED&format=json&resultType=core	Genetics and Epidemiology of Colorectal Cancer Consortium	memberOf	Leeds Colorectal Cancer Study (LCCS)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html	"22 GWAS Catalog studies over 5 PMIDs, all GECCO/CORECT/CCFR pooled colorectal cancer analyses; the open-access one (PMID:38749303) names LCCS only in its acknowledgements (quoted). No COHO or review-file match for LCCS / ""Leeds Colorectal"" (grep 2026-09-23; COHO:0000106 Leeds Melanoma Cohort is unrelated); no clash. The design source is identified by the acknowledgement in PMC11112268: ""LCCS: We acknowledge the contributions of all who conducted this study which was originally reported as 10.1093/carcin/24.2.275."" (= PMID:12584178, Barrett et al. 2003, not open access; abstract read: 500 incident cases and matched population controls in the UK, 433 matched pairs genotyped). The genotyped LCCS set in the GWAS (1397 cases, 682 controls in the Supplementary table of PMC11135391) is larger than the 2003 report, so recruitment presumably continued; not verified. Leeds is given by the name. Parent: GECCO (new parent row at the end of this batch), quote from the Fred Hutch GECCO member list."
NCCCS	NCCCS	North Carolina Colon Cancer Studies	mint cohort	COHO:0000597	North Carolina Colon Cancer Study	NCCCS|NCCCSI|NCCCSII|NCCCS I & II	North Carolina Colon Cancer Studies|NC Colorectal Cancer Study|North Carolina Case-Control Study	cohort			GCST90504004	PMID:38749303	Genome-wide interaction study of dietary intake of fibre, fruits, and vegetables with risk of colorectal cancer.	NCCCS I & II: We would like to thank the study participants, and the NC Colorectal Cancer Study staff.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11112268/fullTextXML	A population-based case-control study of colon cancer in 33 counties of central and eastern North Carolina, designed to oversample African Americans and rural residents, with cases aged 40–80 identified from October 1996 to September 2000 through rapid ascertainment with the North Carolina Central Cancer Registry, collecting questionnaire, diet, medication and tumour data to study colon cancer risk and its racial differences.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4067325/fullTextXML|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6013500/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Data were collected as part of the North Carolina Colon Cancer Study (NCCCS), a population-based, case–control study conducted in 33 contiguous counties of central and eastern North Carolina, including both rural and urban areas [17].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4067325/fullTextXML	Genetics and Epidemiology of Colorectal Cancer Consortium	memberOf	North Carolina Case-Control Study, I (NCCCSI)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html	"22 GWAS Catalog studies over 5 PMIDs, all GECCO/CORECT/CCFR pooled colorectal cancer analyses (the OA one names it only in acknowledgements, quoted). The consortia genotyped two phases, ""North Carolina Colon Cancer Study, I"" and ""II"" (Supplementary Table 6 of PMC11135391; GECCO page lists ""North Carolina Case-Control Study, I (NCCCSI)"" and ""North Carolina Case-Control Study, II (NCCCSII)""); the tag and the PGS name (""Studies"") cover both, so one term with both phase acronyms is proposed; the definition describes phase I only (1996-2000, PMC4067325 and PMC6013500), because I did not find a description of phase II - a curator may want separate sub-cohorts. Label singular as in the study papers (PMC6013500, PMC4067325); PGS plural kept as synonym. The acronym ""NCCCS I & II"" is the acknowledgement form; curator may drop it. No COHO or review-file match for NCCCS / North Carolina (grep 2026-09-23); no clash. Parent: GECCO (new parent row at the end of this batch); the GECCO page lists the two phases separately, the phase I item is quoted."
ATBC	ATBC	Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study	mint cohort	COHO:0000598	Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study	ATBC	ATBC Study|Alpha-Tocopherol, Beta Carotene Cancer Prevention Study	cohort			GCST90399849	PMID:38374065	Genetic influences on circulating retinol and its relationship to human health.	In this study, we used three input datasets – INTERVAL, METSIM, and ATBC/PLCO.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10876955/fullTextXML	A randomized, placebo-controlled trial of alpha-tocopherol and beta-carotene supplements for the primary prevention of lung and other cancers in 29,133 male smokers aged 50–69 in Finland, recruited in 1985–1988 and supplemented for five to eight years, whose participants have since been followed as a cohort for cancer and other outcomes.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12329778/fullTextXML|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9992367/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	Finland	Briefly, ATBC was a randomized placebo‐controlled trial (NCT00342992 clinicaltrials.gov) examining α‐tocopherol and/or β‐carotene for primary prevention of lung and other cancers in 29,133 male Finnish smokers, aged 50–69 years at recruitment between 1985 and 1988.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12329778/fullTextXML	Genetics and Epidemiology of Colorectal Cancer Consortium	memberOf	Alpha-Tocopherol, Beta-Carotene Cancer Prevention (ATBC)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html	"21 GWAS Catalog studies over 6 PMIDs: colorectal (GECCO), bladder cancer (PMID:37210288) and circulating retinol (PMID:38374065, GCST90399849, where ATBC is meta-analysed together with PLCO; chosen as example since its text is open access). No COHO or review-file match for ATBC / Tocopherol (grep 2026-09-23); no clash. Definition from PMC12329778 (""a randomized placebo‐controlled trial (NCT00342992 clinicaltrials.gov) examining α‐tocopherol and/or β‐carotene for primary prevention of lung and other cancers in 29,133 male Finnish smokers, aged 50–69 years at recruitment between 1985 and 1988"") and PMC9992367 (supplementation ""for 5–8 years""); the post-trial follow-up is implied by the many nested case-control studies within it (e.g. PMC12329778), and the sponsors (US NCI and Finnish institute) were not verified in text, so not named. Location: ""Finnish"" in the quote; the quote uses the Unicode hyphen characters of the source. Parent: GECCO (new parent row at the end of this batch), quote from the Fred Hutch GECCO member list."
GOCS_Chilean	GOCS_Chilean	Growth and Obesity Chilean Cohort Study	mint cohort	COHO:0000599	Growth and Obesity Chilean Cohort Study	GOCS_Chilean|GOCS	Chilean Growth and Obesity Cohort Study	cohort			GCST012432	PMID:34047840	Novel loci and Mapuche genetic ancestry are associated with pubertal growth traits in Chilean boys.	We analized individuals of the “Growth and Obesity Chilean Cohort Study” (GOCS)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8553699/fullTextXML	A longitudinal cohort of 1,195 children born in 2002-2003 and recruited in 2006 at about 3.5 years of age from childcare centres of the low-to-middle income South East Area of Santiago, Chile, measured annually (six-monthly from 2010) at the Instituto de Nutrición y Tecnología en Alimentos into adolescence to study growth, puberty and obesity.	PMID:34047840	Claude Opus 5.5 (Anthropic), 2026-09	Chile	This is a longitudinal follow-up of 1195 individuals recruited in 2006 (aged 3.5 years old) at different childcare centers from the South East Area of Santiago, Chile.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8553699/fullTextXML					Country not in gaz_xrefs.tsv (Chile; dbpedia:Chile). 21 GWAS Catalog studies over 3 PMIDs tagged GOCS_Chilean (PMID:38981621 x15, PMID:34047840 x3, PMID:38826804 x3). The GWAS Catalog also tags 3 studies of PMID:34748635 (DHEAS GWAS) with 'GOCS', whose abstract names 'the Chilean pediatric Growth and Obesity Chilean Cohort Study (GOCS) cohort (n = 788)' - the same cohort, so GOCS is added as an acronym; GOCS is not a tier-B row of its own in all_tierB.txt. PMID:38826804 (PMC11140026) writes the name as 'Chilean Growth and Obesity Cohort Study (GOCS)', kept as other synonym. Definition from PMC8553699 Methods (singleton births 2002-2003, birth weight 2500-4500 g, middle-low socioeconomic level, measurements at INTA, heights 2006-2019). Example quote keeps the source's spelling 'analized' and curly quotes. No COHO or review-file match for GOCS, Chile or 'Growth and Obesity' (coho_list.txt, review_names.tsv, coho-edit.owl grep 2026-09-23); no clash.
HEXA	HEXA	Health Examinee Shared Control Study	mint cohort	COHO:0000600	Health Examinees Study	HEXA|KoGES_HEXA	Health Examinee Shared Control Study|KoGES_health examinee study|Health Examinee Study	cohort			GCST90451761	PMID:38060535	Single-nucleotide polymorphisms link gout with health-related lifestyle factors in Korean cohorts.	In this study, we conducted a GWAS analysis on patients with gout in Korea based on the Health Examinees study (HEXA) cohort and KARE cohort of the Korean Genome and Epidemiology Study (KoGES).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10703335/fullTextXML	A population-based cohort of about 173,000 Korean men and women aged 40 and over recruited in 2004–2013 from the national health examinee registry at health examination centres, mainly in urban areas, as the largest cohort of the Korean Genome and Epidemiology Study, to identify environmental and genetic risk factors for major chronic diseases in Koreans.	PMID:27085081|PMID:39050255|PMID:38060535	Claude Opus 5.5 (Anthropic), 2026-09	South_Korea	In this study, we conducted a GWAS analysis on patients with gout in Korea based on the Health Examinees study (HEXA) cohort and KARE cohort of the Korean Genome and Epidemiology Study (KoGES).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10703335/fullTextXML	COHO:0000411	memberOf	The population-based cohorts in the KoGES, including the KoGES_Ansan and Ansung study, the KoGES_health examinee (HEXA) study and the KoGES_cardiovascular disease association study (CAVAS), consist of community-dwellers and participants recruited from the national health examinee registry, men and women	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5837648/fullTextXML	21 GWAS Catalog studies tagged HEXA over 9 PMIDs (36333282 x9, 36419087 x3, 37133724 x2, 37919891 x2, 36422279 x1, 36996866 x1, 38060535 x1, 39747571 x1, 42563985 x1); all are Korean KoGES analyses and the ones checked (PMC9636136, PMC9685854, PMC10703335, PMC10396808, PMC11696572, PMC13441466) name the KoGES health examinee cohort. The PGS name 'Health Examinee Shared Control Study' is an older name ('the Health EXAminee shared control study (HEXA) cohort', PMC11266026, PMID:39050255), kept as other synonym. Label 'Health Examinees Study' as in PMC10703335; Europe PMC phrase hits 130 for 'Health Examinees study' vs 50 for 'Health Examinee study' (2026-09-23), the latter kept as synonym; KoGES profiles write 'KoGES_health examinee (HEXA) study' and 'KoGES_HEXA' (both kept). Definition: 173,357 at baseline and 2004-2013 recruitment from the 2017 KoGES profile (PMC5837648: 'The first stage of recruitment was completed during an extended time period for the KoGES_HEXA and the KoGES_CAVAS studies (2004–2013 and 2004–2011, respectively)'; the national health examinee registry from the parent quote); urban examination centres and aim from PMC11266026 ('HEXA cohort was initiated in 2004 to identify environmental and genetic risk factors for major chronic diseases in Koreans, targeting men and women over 40 years of age who visited medical examination centers in urban areas.'). The 2026 profile update gives 173,195 at baseline, hence 'about 173,000'. Location quote (same sentence as the example quote) says 'in Korea'. memberOf COHO:0000411; parent quote from PMC5837648. HEXA is also a gene symbol (not a cohort; no note needed). Grepped coho-edit.owl, coho_list.txt, review file and tier-B list for HEXA and 'Health Examinee': no match other than this row; no clash. Sibling KoGES cohort CAVAS (tagged with HEXA in PMID:37919891 and 36333282) is not in COHO, the review or tier B as far as the lists show; not added since it is not a parent of any row.
NFCCR	NFCCR	Newfoundland Familial Colon Cancer Registry	mint cohort	COHO:0000601	Newfoundland Colorectal Cancer Registry	NFCCR	Newfoundland Familial Colon Cancer Registry|Newfoundland Familial Colorectal Cancer Registry|Newfoundland Familial Colorectal Cancer Study|Newfoundland Case-Control Study	cohort			GCST90053837	PMID:34309201	A comprehensive analysis of SNPs and CNVs identifies novel markers associated with disease outcomes in colorectal cancer.	Patients in the Newfoundland Colorectal Cancer Registry (NFCCR) cohort were diagnosed between 1999 and 2003	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8637572/fullTextXML	A registry cohort of 750 colorectal cancer patients from the Canadian province of Newfoundland and Labrador, a population with a very high incidence of familial colorectal cancer, recruited in 1999–2003 through Memorial University of Newfoundland and followed for up to 19 years, used to study familial colorectal cancer and genetic and clinical factors in survival.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8637572/fullTextXML|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4393623/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	Canada	In this study, we examined 505 and 495 Caucasian patients from Newfoundland, Canada, in the SNP and CNV analysis parts, respectively.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8637572/fullTextXML	Genetics and Epidemiology of Colorectal Cancer Consortium	memberOf	Newfoundland Familial Colorectal Cancer Study (NFCCR)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html	"21 GWAS Catalog studies over 5 PMIDs: NFCCR survival GWAS PMID:34309201 (GCST90053837-38, example) and 4 GECCO/CORECT/CCFR pooled colorectal cancer papers. No COHO or review-file match for NFCCR / Newfoundland (grep 2026-09-23); no clash. Example quote is a verbatim prefix of the sentence (it continues ""and followed up to 19 years"", with a thin space). Not a CCFR site: the six Colon CFR centres named in PMC4762074 do not include Newfoundland, so no link to the CCFR row; the NFCCR papers cite a comparison ""with Ontario"" (the Ontario FCCR) only as a reference title. Name varies: the survival GWAS papers call it ""Newfoundland Colorectal Cancer Registry"" in the text (PMC8637572, PMC4393623), the PMC8637572 abbreviation list says ""Newfoundland Familial Colorectal Cancer Registry"", the GECCO page ""Newfoundland Familial Colorectal Cancer Study (NFCCR)"", the GWAS supplementary table (PMC11135391) ""Newfoundland Case-Control Study"", and the PGS Catalog ""Newfoundland Familial Colon Cancer Registry""; I chose the form used in the text of both NFCCR papers, others are synonyms. The genotyped GECCO set is a case-control set (NFCCR_2 in PMC11112268), so controls exist, but I did not find them described; the definition covers the patient registry. ""Very high incidence of familial colorectal cancer in Newfoundland"" is a reference title in PMC4393623 (Green et al. 2007); Memorial University from the data availability statement of PMC8637572; 750 patients over 1999-2003 from both papers. Parent: GECCO (new parent row at the end of this batch), quote from the Fred Hutch GECCO member list."
Toshiba	Toshiba	Toshiba cohort	mint cohort	COHO:0000602	Toshiba cohort	Toshiba		cohort			GCST90454398	PMID:40222985	Genome-wide association study of common side effects following COVID-19 booster vaccination in a cohort of corporate employees in Japan.	Toshiba has established a health-care database focusing on “Research aimed at realizing precision medicine that can select optimal preventive and treatment methods”.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11994816/fullTextXML	A corporate genome cohort of employees of Toshiba Corporation, a Japanese electronics company, whose health-care database for precision-medicine research holds genomic, health check-up, questionnaire and prescription data of consenting employees (over 11,600 of whom had given genetic samples by 2024), used for genetic studies such as of side effects after COVID-19 booster vaccination.	PMID:40222985|PMID:41100086	Claude Opus 5.5 (Anthropic), 2026-09	Japan	This study was conducted at Toshiba Corp, an electronics manufacturer in Japan.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12531883/fullTextXML					21 GWAS Catalog studies, all from PMID:40222985 (2,554 Japanese corporate employees, COVID-19 booster side effects; GCST90454398 swelling at the injection site is the example). The paper calls it 'a cohort of corporate employees in Japan' and 'the corporate genome cohort'; it has no formal name, so the PGS name 'Toshiba cohort' is kept as label. It is a real employee cohort, not just the company: the database 'includes genomic, health checkup, questionnaire, and prescription data of their employees who have individually informed consented' (PMC11994816), and PMID:41100086 (a salt-reduction RCT at Toshiba) 'recruited study participants from 11 605 employees who had already provided genetic samples to the company'. Median age 53, 15.3% female (PMID:40222985 Table 1). Grepped COHO (coho_list, coho-edit.owl), review file and tier-B list for Toshiba and 'corporate': no match; no clash.
WHI-MS	WHI-MS	Womens Health Initiative Memory Study	mint cohort	COHO:0000603	Women's Health Initiative Memory Study	WHI-MS|WHIMS	WHI Memory Study|Womens Health Initiative Memory Study	cohort				PMID:42509442	Validation of fracture-derived polygenic scores with FRAX for fracture risk prediction in postmenopausal women.	Model development and internal validation were conducted using participants from the Genomics and Randomized Trials Network (WHI-GARNET), the WHI Memory Study (WHI-MS), and the SNP Health Association Resource (WHI-SHARe).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13408118/fullTextXML	An ancillary study of the Women's Health Initiative hormone therapy trials that enrolled 7,479 cognitively unimpaired women aged 65–80 from 39 clinical sites across the United States in 1996–1999 to test the effects of conjugated equine estrogens with or without medroxyprogesterone acetate on cognitive decline and dementia.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12928021/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	United_States	WHIMS, an ancillary study of the WHI Hormone Trials, was designed to investigate the effects of hormone therapy (conjugated equine estrogens (CEE) alone vs. placebo or CEE plus medroxyprogesterone [E + P] acetate vs. placebo) on cognitive outcomes among 7479 women aged 65–80 years recruited from 39 clinical sites across the United States who were cognitively unimpaired at randomization (1996–1999)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12928021/fullTextXML	COHO:0000409	isSubCohortOf	WHIMS, an ancillary study of the WHI Hormone Trials, was designed to investigate the effects of hormone therapy (conjugated equine estrogens (CEE) alone vs. placebo or CEE plus medroxyprogesterone [E + P] acetate vs. placebo) on cognitive outcomes among 7479 women aged 65–80 years recruited from 39 clinical sites across the United States who were cognitively unimpaired at randomization (1996–1999)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12928021/fullTextXML	"21 GWAS Catalog studies tagged WHI-MS, all from PMID:41325697 (lipids x sleep interaction, GCST90837567 to GCST90837588), whose text could not be read (Europe PMC fullTextXML HTTP 500; PMC HTML main text does not name WHI; supplement behind a download challenge), so no GCST is given as example; instead the example is a paper using the same three WHI tags verbatim, PMID:42509442 (PMC13408118, fracture polygenic scores, not in the GWAS Catalog). The tagged PMID:41325697 GCSTs are each also tagged WHI-SHARe and/or WHI-GARNET. Definition, location and parent quote all from PMC12928021 (PMID:41721741; the reference ""(Shumaker et al. 1998)"" follows the quote); PMC12481165 gives 7429 enrolled instead of 7479. Note the genotyped WHIMS sample used in GWAS consists of WHIMS women from the hormone trials (PMID:40537477 supplement, PMC12179276: ""women selected to be ""representative"" of the HT trial (mostly younger white HT subjects that were also enrolled in the WHI memory study - WHIMS)""). Parent COHO:0000409 Women's Health Initiative. No COHO/review match or clash for WHIMS/WHI-MS."
